n,h,m
1075,3376,N
1267,4080,N
149,389,N
1574,5175,N
1939,6498,N
2118,7184,N
1980,6665,N
1466,4785,N
1760,5871,N
476,1402,N
529,1560,N
1467,4830,N
947,2955,N
1120,3577,N
486,1411,N
2034,6861,N
1385,4490,N
563,1669,N
167,441,N
1973,6649,N
1191,3800,N
578,1717,N
1671,5521,N
1603,5278,N
836,2576,N
107,267,N
512,1505,N
528,1547,N
377,1070,N
2210,7530,N
1765,5877,N
2122,7200,N
1156,3693,N
2217,7562,N
2300,7872,N
1048,3300,N
1689,5568,N
1782,5941,N
2193,7463,N
1009,3174,N
2239,7643,N
1555,5144,N
843,2587,N
228,617,N
445,1292,N
762,2308,N
589,1745,N
767,2355,N
758,2316,N
1464,4786,N
1645,5447,N
375,1067,N
977,3057,N
196,526,N
316,885,N
73,179,N
1676,5555,N
1794,5990,N
860,2651,N
30,65,N
1032,3262,N
2001,6739,N
1630,5408,N
274,759,N
2104,7200,N
1854,6208,N
199,533,N
1332,4290,N
293,813,N
653,1970,N
866,2687,N
388,1101,N
650,1940,N
1329,4292,N
118,300,N
194,515,N
76,183,N
2008,6762,N
1813,6052,N
495,1436,N
1135,3611,N
899,2779,N
2214,7541,N
803,2459,N
1707,5664,N
805,2470,N
437,1262,N
1296,4161,N
2241,7657,N
2153,7306,N
1025,3227,N
1439,4722,N
1655,5518,N
2303,7884,N
2235,7631,N
1406,4621,N
1986,6688,N
1969,6647,N
1345,4357,N
1927,6483,N
273,766,N
1804,6013,N
1859,6234,N
1326,4295,N
1888,6340,N
1553,5110,N
1652,5464,N
802,2488,N
1386,4504,N
677,2028,N
1309,4242,N
1060,3342,N
2060,6946,N
1880,6297,N
214,581,N
1935,6508,N
376,1070,N
1984,6685,N
480,1394,N
820,2532,N
1256,4055,N
1579,5199,N
2051,6943,N
781,2384,N
813,2509,N
1560,5126,N
258,703,N
331,927,N
1943,6539,N
699,2130,N
1405,4583,N
1251,4002,N
508,1473,N
2069,7022,N
13,25,N
1898,6361,N
293,810,N
1663,5555,N
1806,6018,N
834,2589,N
383,1097,N
2216,7553,N
2120,7194,N
18,37,N
1740,5773,N
2138,7260,N
1627,5368,N
1135,3606,N
180,478,N
2107,7144,N
1160,3702,N
695,2103,N
908,2821,N
152,398,N
255,701,N
711,2174,N
1376,4473,N
1191,3801,N
689,2081,N
1288,4140,N
773,2362,N
432,1248,N
2189,7462,N
637,1914,N
827,2552,N
829,2564,N
199,533,N
760,2321,N
274,756,N
282,788,N
1739,5799,N
1040,3280,N
624,1868,N
1723,5704,N
1100,3476,N
84,203,N
1111,3534,N
1696,5622,N
66,156,N
606,1809,N
1156,3697,N
1356,4406,N
2108,7141,N
796,2440,N
1994,6737,N
207,553,N
2019,6823,N
1627,5384,N
1426,4626,N
1613,5365,N
1538,5085,N
1781,5936,N
2288,7828,N
1370,4461,N
585,1729,N
661,1990,N
277,758,N
803,2474,N
274,763,N
180,481,N
1842,6158,N
233,638,N
1975,6643,N
686,2070,N
646,1940,N
929,2879,N
1263,4093,N
2201,7523,N
2014,6789,N
1885,6293,N
288,801,N
877,2718,N
167,442,N
1381,4475,N
425,1221,N
305,853,N
524,1540,N
251,684,N
1511,4968,N
2212,7549,N
370,1042,N
496,1463,N
745,2257,N
513,1512,N
1480,4833,N
1617,5321,N
313,871,N
49,111,N
1448,4730,N
1930,6488,N
1720,5713,N
2113,7227,N
929,2922,N
466,1358,N
1739,5762,N
1717,5704,N
400,1153,N
872,2703,N
312,867,N
68,161,N
1185,3789,N
1780,5939,N
860,2662,N
2198,7489,N
367,1046,N
1320,4267,N
226,605,N
1843,6163,N
510,1501,N
118,300,N
311,876,N
418,1191,N
801,2446,N
1086,3448,N
1518,4985,N
1509,4932,N
2120,7198,N
591,1755,N
397,1138,N
954,2990,N
859,2670,N
169,446,N
1311,4232,N
1616,5354,N
2127,7209,N
1813,6040,N
1148,3666,N
1595,5254,N
1252,4013,N
2197,7485,N
89,217,N
1308,4232,N
620,1855,N
1458,4747,N
1088,3439,N
1758,5839,N
1895,6354,N
1736,5785,N
1954,6561,N
1118,3551,N
421,1218,N
96,238,N
286,792,N
790,2429,N
138,352,N
1852,6198,N
1060,3350,N
609,1822,N
1307,4221,N
629,1879,N
1455,4744,N
1236,3967,N
1996,6704,N
537,1596,N
873,2702,N
351,999,N
403,1150,N
1240,3980,N
1593,5247,N
2204,7503,N
366,1028,N
845,2609,N
1019,3208,N
2162,7358,N
896,2789,N
2019,6810,N
2178,7416,N
50,117,N
221,594,N
1529,5012,N
56,130,N
1958,6590,N
733,2234,N
624,1858,N
1757,5856,N
473,1393,N
1065,3368,N
2235,7631,N
1928,6478,N
362,1029,N
1817,6084,N
1543,5052,N
456,1329,N
2098,7117,N
1241,3999,N
1832,6116,N
20,40,N
1393,4544,N
47,105,N
1339,4312,N
220,595,N
1803,6011,N
373,1057,N
1730,5758,N
1583,5217,N
954,3012,N
131,332,N
601,1782,N
177,469,N
565,1670,N
1094,3473,N
1660,5486,N
731,2227,N
1002,3157,N
1428,4704,N
2142,7270,N
2112,7166,N
240,652,N
1634,5396,N
46,101,N
2295,7854,N
224,610,N
453,1315,N
266,734,N
1147,3664,N
1450,4735,N
2007,6782,N
748,2297,N
304,852,N
1956,6580,N
1447,4722,N
798,2460,N
2117,7182,N
1782,5954,N
799,2448,N
1724,5730,N
293,812,N
2020,6817,N
352,999,N
511,1497,N
1213,3880,N
1656,5481,N
567,1681,N
1982,6670,N
2020,6832,N
1004,3195,N
967,3034,N
2303,7887,N
1410,4601,N
1861,6224,N
1193,3821,N
1925,6463,N
1233,3997,N
2125,7216,N
2299,7876,N
2245,7673,N
2286,7823,N
183,490,N
1241,4025,N
939,2947,N
1627,5379,N
1362,4463,N
140,362,N
1824,6132,N
2162,7363,N
2132,7225,N
439,1278,N
308,858,N
523,1529,N
974,3031,N
483,1420,N
1726,5710,N
2233,7616,N
2197,7476,N
1139,3628,N
1016,3183,N
977,3036,N
1008,3172,N
1353,4382,N
1337,4314,N
2238,7630,N
1979,6680,N
1330,4297,N
1538,5053,N
1348,4364,N
41,90,N
906,2817,N
863,2664,N
1095,3465,N
36,80,N
182,484,N
2080,7055,N
1373,4452,N
1136,3638,N
6,11,N
337,958,N
962,3016,N
563,1672,N
1572,5188,N
168,443,N
1100,3483,N
1542,5067,N
1222,3925,N
1965,6634,N
1230,3945,N
84,204,N
564,1684,N
1574,5190,N
507,1472,N
472,1383,N
207,552,N
1139,3615,N
877,2720,N
1207,3855,N
1610,5322,N
1654,5468,N
1859,6222,N
1709,5669,N
205,552,N
1265,4063,N
35,76,N
1418,4618,N
1774,5893,N
961,3001,N
79,192,N
2119,7192,N
1799,6012,N
905,2806,N
1990,6714,N
541,1595,N
1861,6221,N
1423,4642,N
1635,5401,N
753,2307,N
1966,6608,N
1794,6004,N
1073,3401,N
544,1612,N
74,177,N
12,24,N
1907,6391,N
1921,6450,N
2294,7843,N
459,1335,N
140,363,N
2218,7554,N
1602,5247,N
1978,6668,N
1563,5145,N
86,206,N
1851,6221,N
769,2355,N
899,2803,N
1573,5164,N
965,3002,N
1021,3217,N
1885,6317,N
563,1663,N
568,1672,N
909,2837,N
2264,7737,N
1203,3835,N
669,2023,N
846,2608,N
1674,5562,N
815,2493,N
1782,5937,N
1916,6419,N
1145,3672,N
709,2144,N
1680,5555,N
1803,6010,N
420,1213,N
516,1498,N
1345,4341,N
1223,3924,N
2147,7311,N
1263,4059,N
1665,5507,N
1851,6195,N
1719,5701,N
1408,4611,N
1251,4060,N
2113,7164,N
1680,5579,N
1838,6143,N
332,935,N
1801,6022,N
2191,7465,N
2239,7655,N
1553,5090,N
914,2834,N
2062,6981,N
17,34,N
1988,6698,N
1152,3658,N
1614,5378,N
1630,5378,N
758,2296,N
992,3108,N
141,362,N
1464,4797,N
1650,5456,N
1837,6115,N
1300,4241,N
1514,4969,N
1794,5968,N
1371,4444,N
1011,3182,N
462,1345,N
64,151,N
2300,7873,N
525,1546,N
1463,4771,N
1159,3713,N
1191,3789,N
1002,3138,N
2051,6933,N
542,1591,N
182,479,N
466,1363,N
2202,7504,N
1743,5814,N
1002,3148,N
785,2411,N
1347,4407,N
1463,4774,N
1502,4928,N
958,3006,N
401,1157,N
1946,6537,N
124,312,N
1171,3724,N
2100,7110,N
1450,4720,N
1267,4093,N
193,509,N
887,2753,N
909,2828,N
1430,4672,N
682,2059,N
457,1324,N
1024,3232,N
161,419,N
1813,6051,N
34,74,N
967,3029,N
318,888,N
1258,4045,N
2127,7224,N
885,2735,N
600,1805,N
1455,4732,N
2059,6969,N
293,809,N
1882,6312,N
1763,5890,N
616,1848,N
495,1439,N
805,2472,N
229,618,N
958,3002,N
1092,3467,N
780,2401,N
780,2385,N
1050,3327,N
644,1936,N
388,1111,N
1298,4175,N
1959,6597,N
1109,3530,N
2022,6838,N
1848,6201,N
941,2927,N
1648,5444,N
1932,6488,N
1131,3594,N
528,1569,N
1444,4678,N
1508,4937,N
1926,6484,N
667,2003,N
1751,5817,N
2235,7620,N
1847,6184,N
1648,5468,N
1525,5020,N
1325,4254,N
2301,7878,N
1097,3497,N
579,1720,N
107,266,N
1091,3472,N
1784,5931,N
393,1130,N
234,638,N
1605,5304,N
451,1304,N
371,1071,N
593,1787,N
2202,7503,N
1175,3748,N
100,248,N
1455,4742,N
473,1381,N
1920,6433,N
1903,6389,N
1698,5651,N
1978,6664,N
720,2211,N
770,2361,N
185,493,N
835,2576,N
797,2452,N
1050,3311,N
1579,5218,N
1268,4075,N
2234,7626,N
292,809,N
1326,4275,N
2225,7601,N
558,1650,N
2059,6966,N
1954,6585,N
809,2498,N
1856,6212,N
2239,7651,N
1563,5145,N
2087,7066,N
1450,4730,N
2157,7326,N
2272,7766,N
542,1613,N
1931,6507,N
725,2209,N
802,2466,N
2192,7476,N
283,786,N
1724,5722,N
733,2234,N
518,1543,N
1312,4229,N
1024,3220,N
1700,5624,N
1211,3901,N
1948,6520,N
2139,7261,N
795,2438,N
150,394,N
1817,6053,N
1895,6346,N
2042,6885,N
2249,7675,N
1663,5497,N
2004,6762,N
593,1775,N
910,2837,N
2148,7300,N
439,1282,N
1443,4721,N
2171,7383,N
1428,4641,N
1079,3412,N
516,1521,N
1009,3174,N
954,2978,N
1254,4029,N
1700,5640,N
165,437,N
636,1900,N
172,454,N
291,816,N
245,664,N
1153,3671,N
69,162,N
2183,7435,N
2007,6788,N
209,557,N
307,865,N
348,978,N
1189,3800,N
534,1585,N
733,2231,N
1195,3819,N
226,614,N
84,206,N
1670,5527,N
940,2935,N
1831,6118,N
2172,7392,N
431,1246,N
1413,4610,N
2141,7288,N
469,1364,N
673,2028,N
681,2063,N
1789,5978,N
1389,4508,N
69,166,N
2127,7219,N
2025,6844,N
777,2399,N
2191,7461,N
2080,7054,N
1867,6260,N
671,2029,N
1129,3583,N
2248,7673,N
1275,4107,N
2203,7506,N
1773,5881,N
1709,5677,N
1850,6189,N
2303,7887,N
1792,5981,N
2072,7011,N
1291,4152,N
1075,3401,N
2115,7174,N
613,1817,N
1864,6238,N
1624,5347,N
1945,6517,N
1460,4751,N
703,2133,N
1746,5849,N
1497,4893,N
510,1497,N
196,526,N
135,342,N
1228,3919,N
1591,5282,N
141,364,N
409,1176,N
219,592,N
1289,4135,N
1841,6156,N
1318,4287,N
1990,6709,N
1725,5710,N
2038,6893,N
35,78,N
214,581,N
889,2762,N
1950,6557,N
1275,4138,N
2000,6737,N
1069,3381,N
1107,3512,N
1166,3711,N
846,2608,N
1956,6593,N
2264,7749,N
926,2887,N
1896,6369,N
157,410,N
2276,7786,N
1658,5504,N
1625,5346,N
1776,5927,N
457,1331,N
1903,6379,N
1847,6196,N
660,2003,N
2097,7124,N
2025,6835,N
2018,6840,N
2201,7497,N
970,3028,N
1011,3170,N
2039,6892,N
2304,7892,N
1455,4773,N
899,2792,N
2236,7632,N
2031,6847,N
579,1729,N
218,587,N
1262,4076,N
524,1545,N
231,628,N
950,2968,N
1927,6482,N
1659,5497,N
1237,3950,N
2191,7476,N
1599,5274,N
590,1754,N
1134,3598,N
951,2958,N
1054,3315,N
1020,3215,N
570,1687,N
1040,3287,N
2000,6750,N
1416,4628,N
177,469,N
1666,5509,N
2171,7400,N
1994,6735,N
860,2681,N
1862,6219,N
1826,6103,N
1204,3866,N
2279,7796,N
1889,6334,N
1425,4669,N
72,171,N
333,936,N
1162,3705,N
459,1324,N
1790,5978,N
2050,6942,N
1183,3807,N
2232,7626,N
2142,7278,N
477,1402,N
1915,6449,N
1296,4184,N
860,2670,N
937,2947,N
1723,5723,N
797,2434,N
1312,4251,N
643,1941,N
885,2739,N
1977,6656,N
455,1310,N
903,2828,N
625,1887,N
1273,4112,N
974,3057,N
1446,4718,N
1202,3867,N
699,2126,N
17,33,N
345,972,N
325,922,N
2228,7598,N
348,991,N
1470,4799,N
394,1133,N
692,2114,N
898,2795,N
1017,3191,N
1218,3877,N
326,919,N
786,2411,N
1713,5696,N
1279,4149,N
1012,3183,N
2066,6983,N
598,1796,N
884,2726,N
1031,3247,N
978,3062,N
2300,7877,N
1438,4699,N
1908,6409,N
2083,7069,N
972,3053,N
1859,6223,N
1773,5893,N
1344,4377,N
2138,7256,N
1222,3904,N
341,970,N
94,232,N
1984,6696,N
1370,4490,N
817,2518,N
175,459,N
135,341,N
1089,3460,N
427,1233,N
700,2133,N
78,184,N
1071,3393,N
67,157,N
936,2922,N
1345,4368,N
19,39,N
2082,7058,N
433,1252,N
1102,3493,N
1451,4756,N
150,396,N
657,1989,N
1248,4007,N
1326,4281,N
796,2453,N
1685,5581,N
1722,5734,N
2298,7866,N
1200,3825,N
1014,3187,N
590,1756,N
1297,4176,N
970,3046,N
2184,7430,N
1983,6687,N
1703,5655,N
2181,7427,N
569,1686,N
1578,5163,N
111,277,N
1732,5766,N
1903,6383,N
1506,4919,N
1901,6381,N
2258,7718,N
1405,4574,N
168,443,N
2309,7898,N
1477,4862,N
1409,4572,N
2067,7007,N
1754,5837,N
1855,6202,N
1098,3502,N
285,783,N
357,1001,N
1567,5169,N
1366,4429,N
211,571,N
243,662,N
1484,4846,N
569,1704,N
1200,3831,N
1578,5207,N
1908,6393,N
1846,6168,N
1405,4607,N
1775,5903,N
1608,5302,N
478,1392,N
1980,6663,N
1905,6406,N
2094,7091,N
367,1051,N
179,477,N
980,3072,N
1918,6437,N
386,1095,N
1799,6001,N
1373,4459,N
1365,4430,N
2251,7698,N
1579,5184,N
1958,6582,N
693,2108,N
1796,5999,N
651,1955,N
607,1804,N
22,45,N
295,824,N
520,1536,N
1318,4252,N
106,267,N
27,58,N
1868,6257,N
887,2761,N
371,1059,N
770,2352,N
1083,3432,N
696,2106,N
1920,6459,N
1637,5409,N
978,3087,N
330,932,N
2066,6995,N
953,2977,N
24,50,N
317,891,N
2269,7755,N
419,1197,N
697,2103,N
1670,5530,N
1042,3295,N
1872,6274,N
1259,4044,N
125,316,N
1971,6640,N
1742,5781,N
1467,4842,N
50,114,N
1042,3330,N
1920,6458,N
1387,4510,N
1964,6616,N
301,835,N
983,3073,N
1005,3159,N
916,2850,N
61,141,N
1273,4082,N
624,1867,N
1017,3192,N
1037,3270,N
2029,6851,N
372,1060,N
945,2968,N
1307,4219,N
1430,4663,N
993,3122,N
2064,6985,N
704,2139,N
2098,7124,N
379,1084,N
673,2023,N
849,2645,N
116,290,N
1460,4751,N
184,487,N
1602,5290,N
946,2949,N
573,1694,N
1636,5389,N
1766,5878,N
506,1472,N
2273,7774,N
1225,3913,N
173,454,N
1927,6469,N
619,1865,N
75,182,N
1518,4965,N
28,57,N
1545,5072,N
723,2199,N
351,998,N
693,2106,N
411,1194,N
724,2213,N
937,2920,N
1596,5260,N
1193,3804,N
1803,6022,N
1424,4658,N
1858,6226,N
852,2636,N
1365,4400,N
2166,7358,N
637,1910,N
1034,3259,N
472,1377,N
249,676,N
1039,3280,N
1214,3885,N
2193,7470,N
1914,6435,N
2076,7022,N
1457,4741,N
190,507,N
322,909,N
1254,4021,N
1542,5046,N
2143,7285,N
2144,7278,N
597,1786,N
2138,7270,N
1429,4668,N
2089,7086,N
834,2560,N
1669,5518,N
1484,4876,N
192,511,N
6,11,N
2259,7712,N
1168,3750,N
1864,6245,N
1885,6304,N
1334,4301,N
1145,3639,N
2238,7641,N
517,1529,N
1042,3288,N
1227,3951,N
397,1135,N
1204,3864,N
355,1008,N
1643,5415,N
450,1298,N
821,2542,N
1156,3677,N
1865,6257,N
860,2653,N
1339,4334,N
1180,3760,N
1660,5495,N
1679,5554,N
1201,3844,N
1742,5790,N
654,1961,N
616,1848,N
2171,7388,N
688,2077,N
307,854,N
1309,4265,N
1203,3837,N
773,2386,N
158,415,N
1778,5907,N
971,3041,N
749,2275,N
1623,5342,N
1209,3859,N
1782,5921,N
1238,4007,N
223,605,N
2300,7878,N
1030,3258,N
1947,6559,N
452,1305,N
707,2154,N
447,1299,N
2220,7572,N
1179,3775,N
2148,7308,N
1077,3410,N
238,651,N
2010,6784,N
1500,4908,N
1856,6226,N
1690,5588,N
98,241,N
1060,3336,N
1127,3582,N
1106,3530,N
828,2549,N
862,2662,N
451,1302,N
1998,6734,N
1238,3957,N
1049,3314,N
259,718,N
726,2205,N
329,922,N
1704,5652,N
2071,7017,N
1124,3560,N
1029,3236,N
1351,4379,N
1592,5253,N
431,1250,N
1394,4523,N
1261,4070,N
2199,7493,N
701,2117,N
1289,4151,N
1267,4092,N
495,1450,N
679,2060,N
1376,4486,N
1113,3537,N
1778,5906,N
201,529,N
1497,4904,N
1571,5168,N
559,1653,N
1942,6527,N
2163,7361,N
65,152,N
1674,5553,N
487,1431,N
346,981,N
1201,3850,N
2011,6797,N
1909,6382,N
2171,7393,N
1019,3209,N
675,2032,N
1045,3305,N
1166,3697,N
333,939,N
1242,3984,N
909,2826,N
2045,6909,N
330,932,N
441,1285,N
1255,4033,N
1568,5145,N
2093,7093,N
2075,7018,N
422,1216,N
565,1678,N
1906,6389,N
1780,5935,N
2246,7672,N
1881,6314,N
39,88,N
1239,3979,N
234,637,N
44,100,N
1113,3527,N
1339,4337,N
881,2744,N
1630,5379,N
650,1951,N
305,844,N
623,1872,N
2094,7091,N
1732,5746,N
844,2593,N
1402,4563,N
495,1432,N
821,2531,N
1616,5338,N
2193,7475,N
1810,6031,N
1130,3597,N
1382,4494,N
1325,4331,N
648,1950,N
1429,4654,N
2275,7784,N
815,2513,N
1990,6716,N
1605,5282,N
1575,5223,N
1409,4589,N
284,786,N
2298,7866,N
2,3,N
646,1941,N
417,1213,N
2053,6930,N
1367,4473,N
2013,6792,N
510,1503,N
674,2036,N
1669,5532,N
1668,5512,N
2081,7039,N
619,1843,N
2104,7147,N
871,2702,N
1272,4131,N
183,485,N
1168,3749,N
621,1864,N
365,1033,N
959,3003,N
878,2716,N
319,894,N
2110,7168,N
2239,7636,N
1501,4914,N
1505,4967,N
201,545,N
205,549,N
1568,5166,N
78,190,N
1806,5990,N
2079,7050,N
1527,4989,N
476,1388,N
114,284,N
278,764,N
1156,3695,N
126,322,N
1440,4681,N
2238,7632,N
589,1746,N
260,721,N
177,471,N
272,748,N
1332,4312,N
266,732,N
521,1541,N
494,1450,N
919,2859,N
2089,7082,N
306,854,N
492,1424,N
643,1929,N
1321,4263,N
1061,3365,N
824,2552,N
1771,5902,N
2112,7158,N
422,1211,N
1506,4956,N
2196,7483,N
2030,6868,N
2170,7365,N
692,2096,N
1604,5294,N
1852,6228,N
386,1104,N
1039,3272,N
362,1039,N
1148,3677,N
600,1775,N
777,2390,N
1005,3157,N
580,1710,N
1919,6446,N
1039,3267,N
933,2915,N
1362,4402,N
2178,7414,N
216,586,N
1510,4943,N
1278,4107,N
141,366,N
1054,3311,N
338,954,N
453,1318,N
694,2098,N
1326,4290,N
1195,3825,N
1685,5585,N
1148,3642,N
178,470,N
2291,7836,N
1598,5255,N
1981,6682,N
1410,4575,N
40,90,N
1194,3829,N
1852,6191,N
1754,5828,N
1807,6014,N
308,860,N
1363,4424,N
1093,3480,N
239,659,N
1827,6098,N
2185,7431,N
615,1835,N
968,3049,N
515,1506,N
901,2796,N
86,214,N
1273,4089,N
1929,6489,N
1259,4053,N
1131,3580,N
1891,6331,N
948,2953,N
251,686,N
1528,4991,N
1213,3900,N
187,497,N
1778,5951,N
2192,7460,N
1307,4215,N
1362,4455,N
1021,3192,N
522,1534,N
1846,6189,N
947,2949,N
567,1668,N
2213,7547,N
381,1086,N
1410,4583,N
2148,7313,N
1063,3360,N
1432,4709,N
1017,3195,N
788,2403,N
942,2938,N
2012,6769,N
1913,6412,N
1239,4016,N
2162,7350,N
640,1934,N
2170,7381,N
1404,4598,N
1590,5244,N
390,1105,N
816,2505,N
211,566,N
1067,3394,N
221,598,N
561,1668,N
1855,6220,N
88,217,N
583,1731,N
2186,7438,N
905,2807,N
171,450,N
2266,7739,N
571,1710,N
1420,4622,N
1546,5108,N
783,2403,N
1399,4525,N
1774,5928,N
366,1035,N
1720,5707,N
639,1915,N
1191,3817,N
716,2171,N
979,3062,N
478,1394,N
1782,5971,N
1105,3508,N
1352,4418,N
1889,6341,N
339,944,N
1080,3407,N
85,210,N
1257,4043,N
991,3099,N
1286,4135,N
959,3017,N
2171,7377,N
1012,3192,N
1744,5790,N
1863,6241,N
369,1051,N
298,829,N
351,994,N
1261,4053,N
815,2526,N
547,1615,N
379,1083,N
464,1344,N
1198,3834,N
1136,3608,N
2078,7052,N
9,17,N
1686,5560,N
170,450,N
503,1487,N
1877,6286,N
1371,4443,N
1645,5446,N
984,3109,N
2019,6825,N
1878,6277,N
1794,5986,N
1565,5151,N
823,2543,N
1748,5831,N
1431,4658,N
1140,3631,N
2145,7308,N
1921,6459,N
1065,3373,N
341,954,N
1928,6457,N
523,1551,N
456,1331,N
1918,6433,N
1575,5213,N
1442,4683,N
538,1582,N
2145,7302,N
886,2756,N
2103,7130,N
93,230,N
13,26,N
1217,3920,N
815,2515,N
929,2909,N
1533,5013,N
195,522,N
1136,3619,N
289,803,N
1824,6094,N
197,524,N
2236,7631,N
882,2728,N
717,2161,N
127,326,N
1286,4176,N
1249,3997,N
1238,3967,N
801,2462,N
2172,7381,N
1374,4447,N
1557,5110,N
890,2756,N
2147,7297,N
1905,6393,N
2243,7652,N
258,708,N
2197,7488,N
2175,7399,N
929,2906,N
1901,6368,N
377,1070,N
45,101,N
867,2698,N
1069,3393,N
1283,4130,N
164,432,N
1445,4746,N
1168,3727,N
1204,3857,N
190,509,N
1874,6292,N
852,2640,N
596,1771,N
1817,6081,N
1849,6196,N
2048,6931,N
685,2069,N
1180,3771,N
562,1667,N
1580,5244,N
2028,6842,N
387,1105,N
438,1268,N
1013,3179,N
2097,7122,N
905,2826,N
1176,3748,N
646,1938,N
1239,3971,N
958,2982,N
448,1295,N
826,2540,N
1648,5440,N
1228,3957,N
1543,5056,N
1440,4712,N
1382,4489,N
358,1026,N
1467,4801,N
1070,3385,N
2000,6751,N
1499,4899,N
1549,5079,N
1656,5469,N
2255,7706,N
1147,3672,N
1001,3147,N
2291,7841,N
509,1499,N
1895,6347,N
605,1797,N
1218,3911,N
875,2694,N
835,2574,N
701,2126,N
2267,7749,N
526,1545,N
844,2606,N
2191,7469,N
709,2148,N
873,2707,N
1886,6339,N
1268,4084,N
2296,7858,N
2045,6907,N
2214,7545,N
412,1173,N
58,134,N
2199,7489,N
358,1004,N
2166,7377,N
1036,3261,N
671,2036,N
1817,6075,N
429,1229,N
546,1610,N
1125,3568,N
2030,6862,N
55,127,N
2212,7533,N
1123,3556,N
58,136,N
1506,4961,N
1636,5397,N
402,1156,N
1455,4783,N
1152,3665,N
55,128,N
433,1248,N
583,1729,N
1060,3342,N
1672,5562,N
1236,3979,N
905,2821,N
806,2474,N
1510,4940,N
277,767,N
1957,6588,N
690,2090,N
2306,7898,N
516,1516,N
1747,5809,N
1553,5149,N
989,3086,N
189,503,N
1445,4729,N
354,997,N
2248,7683,N
1345,4347,N
1671,5538,N
1479,4834,N
2050,6924,N
429,1247,N
1344,4342,N
72,170,N
1210,3887,N
744,2266,N
1277,4111,N
2295,7853,N
205,548,N
192,511,N
520,1526,N
69,167,N
1730,5746,N
681,2067,N
1729,5735,N
539,1594,N
206,550,N
2041,6896,N
1258,4054,N
543,1600,N
985,3113,N
457,1330,N
1467,4780,N
1326,4307,N
782,2386,N
1819,6076,N
1564,5150,N
418,1207,N
2234,7633,N
912,2831,N
439,1268,N
141,369,N
586,1736,N
1702,5641,N
1716,5688,N
1172,3737,N
1735,5778,N
1511,4944,N
1065,3378,N
2081,7063,N
811,2489,N
2287,7822,N
1605,5330,N
1409,4583,N
2,3,N
2196,7481,N
2301,7879,N
1557,5109,N
2291,7839,N
1096,3475,N
506,1482,N
906,2819,N
1438,4676,N
1640,5417,N
36,78,N
1952,6563,N
163,425,N
2171,7383,N
478,1387,N
2071,7006,N
1466,4788,N
979,3082,N
2133,7251,N
597,1787,N
523,1535,N
1060,3349,N
1016,3198,N
779,2392,N
905,2806,N
2002,6747,N
83,205,N
1668,5566,N
1198,3811,N
1745,5848,N
995,3133,N
530,1570,N
2273,7774,N
902,2829,N
1393,4572,N
69,163,N
1000,3136,N
251,687,N
2282,7802,N
1178,3753,N
2204,7508,N
649,1936,N
2052,6955,N
1461,4775,N
632,1903,N
1928,6486,N
853,2635,N
2141,7279,N
1498,4949,N
932,2906,N
1147,3670,N
400,1145,N
187,497,N
1478,4828,N
905,2794,N
1885,6323,N
2085,7074,N
2080,7057,N
1744,5777,N
1774,5905,N
855,2644,N
156,399,N
2094,7083,N
718,2182,N
1098,3473,N
1498,4890,N
1,1,N
1670,5532,N
384,1088,N
467,1360,N
716,2170,N
496,1454,N
1809,6036,N
1861,6231,N
2301,7882,N
412,1182,N
983,3084,N
2162,7363,N
1498,4900,N
1781,5942,N
778,2373,N
1443,4682,N
2215,7552,N
235,645,N
1153,3678,N
2256,7706,N
412,1194,N
683,2056,N
140,359,N
2284,7815,N
268,739,N
759,2329,N
214,581,N
1735,5762,N
162,424,N
1245,3998,N
1766,5864,N
1624,5369,N
2204,7515,N
463,1357,N
634,1902,N
1613,5372,N
1803,6020,N
1615,5333,N
13,25,N
925,2893,N
843,2603,N
1293,4156,N
1992,6711,N
685,2073,N
2247,7675,N
1550,5092,N
1782,5943,N
1340,4343,N
619,1846,N
1567,5136,N
1311,4228,N
2290,7838,N
2139,7270,N
1532,5018,N
923,2888,N
870,2687,N
1849,6176,N
1458,4764,N
1464,4794,N
1587,5225,N
1282,4157,N
98,244,N
1292,4165,N
917,2844,N
1237,3966,N
1991,6711,N
1142,3629,N
2098,7102,N
1924,6467,N
2306,7900,N
1986,6698,N
2040,6884,N
1971,6623,N
1846,6175,N
1865,6256,N
1389,4515,N
530,1566,N
2026,6848,N
119,301,N
1253,4018,N
190,499,N
1252,4029,N
910,2824,N
1534,5032,N
1662,5495,N
1668,5532,N
675,2032,N
464,1352,N
1925,6491,N
504,1474,N
952,3002,N
1150,3689,N
1505,4936,N
1739,5778,N
1672,5540,N
595,1780,N
834,2560,N
1249,4012,N
319,891,N
1370,4452,N
1421,4630,N
563,1661,N
270,747,N
1294,4202,N
565,1666,N
855,2655,N
1274,4138,N
1160,3716,N
682,2069,N
1601,5281,N
1222,3923,N
903,2809,N
2129,7224,N
97,238,N
890,2780,N
331,947,N
1924,6479,N
238,652,N
929,2904,N
1506,4965,N
53,127,N
1146,3662,N
2002,6743,N
519,1515,N
472,1382,N
940,2944,N
846,2623,N
46,105,N
1737,5757,N
674,2042,N
850,2625,N
808,2475,N
73,173,N
411,1180,N
1229,3940,N
153,393,N
148,390,N
1331,4313,N
2088,7085,N
2086,7064,N
92,229,N
306,860,N
657,1981,N
538,1590,N
461,1340,N
238,657,N
