n,h,m
1598,5245,N
1303,4213,N
958,3007,N
1381,4467,N
67,163,N
982,3092,N
1210,3869,N
1953,6575,N
2021,6828,N
256,704,N
74,178,N
113,287,N
1424,4644,N
1361,4396,N
1049,3320,N
1585,5251,N
1287,4151,N
263,715,N
1042,3300,N
889,2755,N
2000,6732,N
146,375,N
2129,7227,N
2086,7044,N
766,2358,N
1898,6362,N
979,3053,N
969,3038,N
741,2256,N
862,2679,N
1905,6378,N
2255,7705,N
154,398,N
192,508,N
1088,3445,N
1572,5157,N
1860,6211,N
1246,3993,N
298,826,N
1314,4248,N
1836,6150,N
984,3114,N
863,2666,N
1769,5865,N
993,3112,N
2292,7840,N
4,7,N
1705,5654,N
1885,6319,N
1679,5566,N
2119,7196,N
1443,4696,N
1665,5501,N
1973,6637,N
2095,7094,N
1361,4426,N
244,663,N
1415,4640,N
1286,4137,N
1362,4408,N
1905,6387,N
991,3114,N
1311,4204,N
585,1742,N
641,1920,N
1561,5122,N
315,892,N
1817,6059,N
2285,7817,N
1205,3892,N
374,1061,N
1820,6083,N
727,2201,N
2246,7673,N
2003,6744,N
242,660,N
634,1890,N
314,880,N
61,146,N
2025,6832,N
1754,5860,N
2034,6879,N
1399,4588,N
661,1990,N
1026,3219,N
2286,7815,N
1177,3777,N
1631,5401,N
127,323,N
896,2775,N
429,1245,N
481,1405,N
1236,3967,N
718,2173,N
1682,5568,N
419,1207,N
1461,4772,N
358,1016,N
112,277,N
2194,7473,N
1062,3350,N
376,1077,N
857,2633,N
275,755,N
1014,3189,N
933,2927,N
1606,5280,N
62,146,N
172,454,N
1026,3237,N
429,1241,N
1888,6344,N
931,2908,N
954,2980,N
976,3051,N
2004,6785,N
1304,4195,N
1685,5585,N
1723,5711,N
373,1051,N
1770,5889,N
975,3044,N
1056,3332,N
1293,4164,N
1281,4128,N
170,450,N
1515,4977,N
2008,6775,N
88,217,N
1055,3325,N
1920,6448,N
1831,6123,N
638,1927,N
1994,6717,N
273,754,N
885,2769,N
1705,5635,N
343,968,N
1152,3703,N
1322,4260,N
1669,5505,N
1944,6546,N
1273,4105,N
2218,7571,N
397,1147,N
1991,6728,N
2259,7716,N
1577,5175,N
2120,7176,N
645,1943,N
2180,7416,N
1058,3347,N
665,2016,N
992,3109,N
1901,6372,N
953,2974,N
2180,7414,N
1036,3253,N
2284,7813,N
1887,6318,N
1529,5031,N
1522,5038,N
363,1021,N
1206,3853,N
1087,3444,N
1793,5972,N
438,1278,N
1255,4025,N
421,1216,N
1834,6123,N
760,2323,N
1660,5491,N
1206,3875,N
879,2735,N
194,511,N
834,2562,N
825,2542,N
110,278,N
1706,5654,N
1437,4684,N
1458,4780,N
1695,5635,N
896,2783,N
1829,6117,N
1294,4166,N
2016,6815,N
511,1494,N
660,1983,N
1737,5765,N
1967,6627,N
1405,4552,N
1984,6683,N
93,227,N
1722,5720,N
2118,7179,N
454,1312,N
1902,6390,N
1535,5063,N
2120,7195,N
1093,3445,N
1706,5664,N
932,2898,N
2049,6934,N
1267,4079,N
1185,3787,N
1708,5661,N
1246,3992,N
1310,4233,N
413,1182,N
1852,6191,N
1678,5564,N
1495,4927,N
1300,4196,N
2138,7259,N
348,980,N
1507,4927,N
267,735,N
1696,5625,N
223,603,N
767,2338,N
1741,5790,N
26,54,N
1232,3924,N
375,1064,N
1098,3469,N
1616,5391,N
1468,4793,N
1441,4733,N
272,749,N
1545,5058,N
1483,4850,N
759,2327,N
1358,4392,N
2220,7569,N
367,1055,N
175,458,N
270,744,N
1106,3513,N
161,426,N
261,717,N
1256,4040,N
306,852,N
875,2709,N
1211,3877,N
1486,4917,N
1338,4339,N
562,1672,N
158,415,N
1290,4155,N
552,1643,N
1717,5712,N
1824,6082,N
428,1245,N
1198,3817,N
909,2822,N
1339,4332,N
337,949,N
821,2510,N
1338,4314,N
1157,3666,N
506,1487,N
1215,3928,N
2263,7730,N
1690,5612,N
1416,4582,N
1584,5205,N
1352,4393,N
711,2155,N
91,220,N
1264,4063,N
156,411,N
1143,3632,N
1408,4600,N
1528,4987,N
151,391,N
737,2247,N
1951,6554,N
444,1276,N
118,303,N
2064,6996,N
58,131,N
346,978,N
2208,7532,N
878,2715,N
1165,3706,N
880,2734,N
2171,7386,N
916,2848,N
1884,6330,N
568,1686,N
175,462,N
497,1452,N
998,3149,N
2115,7177,N
2146,7281,N
56,129,N
472,1362,N
2131,7248,N
2014,6784,N
27,56,N
1809,6023,N
42,94,N
1282,4175,N
572,1705,N
1916,6440,N
2241,7651,N
1196,3823,N
972,3038,N
170,442,N
2270,7763,N
474,1382,N
1500,4937,N
230,622,N
1835,6140,N
1520,4981,N
484,1404,N
29,63,N
1046,3302,N
2151,7327,N
878,2714,N
857,2644,N
2135,7243,N
1424,4634,N
1610,5293,N
906,2807,N
2238,7641,N
1076,3400,N
554,1633,N
1594,5224,N
1423,4634,N
1018,3217,N
1342,4371,N
1021,3199,N
599,1795,N
1109,3516,N
637,1909,N
1869,6245,N
937,2916,N
1728,5721,N
426,1231,N
1213,3878,N
368,1049,N
1738,5783,N
43,96,N
1322,4263,N
91,223,N
1449,4782,N
143,369,N
1992,6722,N
970,3049,N
1901,6378,N
429,1238,N
627,1881,N
1561,5124,N
2200,7508,N
130,332,N
403,1154,N
282,776,N
2030,6857,N
366,1039,N
1393,4563,N
186,493,N
1089,3434,N
2215,7544,N
771,2370,N
1297,4192,N
222,604,N
331,927,N
462,1345,N
290,806,N
146,380,N
2108,7152,N
1316,4254,N
2141,7267,N
2166,7362,N
903,2808,N
1518,4979,N
631,1906,N
348,984,N
1298,4196,N
551,1617,N
514,1520,N
1637,5456,N
929,2892,N
1688,5604,N
1272,4126,N
897,2782,N
935,2911,N
2274,7776,N
818,2528,N
2013,6790,N
2104,7148,N
234,629,N
2232,7618,N
2003,6774,N
1029,3254,N
1897,6361,N
745,2277,N
1889,6327,N
39,85,N
235,640,N
1934,6494,N
559,1654,N
2199,7493,N
479,1398,N
1664,5482,N
1027,3224,N
233,635,N
516,1516,N
293,817,N
1830,6119,N
1839,6155,N
1206,3862,N
211,565,N
721,2195,N
2261,7718,N
1492,4892,N
270,745,N
1350,4409,N
2024,6833,N
391,1115,N
777,2366,N
506,1486,N
1439,4724,N
213,580,N
229,629,N
2061,6987,N
2129,7222,N
1781,5933,N
670,2028,N
1145,3630,N
1187,3802,N
