word,bank,wlen
BIRTH,A,5
BISON,A,5
BITTY,A,5
BLACK,A,5
BLADE,A,5
BLAME,A,5
BLAND,A,5
BLANK,A,5
BLARE,A,5
BLAST,A,5
BLAZE,A,5
BLEAK,A,5
BLEAT,A,5
BLEED,A,5
BLEEP,A,5
BLEND,A,5
BLESS,A,5
BLIMP,A,5
BLIND,A,5
BLINK,A,5
BLISS,A,5
BLITZ,A,5
BLOAT,A,5
BLOCK,A,5
BLOKE,A,5
BLOND,A,5
BLOOD,A,5
BLOOM,A,5
BLOWN,A,5
BLUER,A,5
BLUFF,A,5
BLUNT,A,5
BLURB,A,5
BLURT,A,5
BLUSH,A,5
BOARD,A,5
BOAST,A,5
BOBBY,A,5
BONEY,A,5
BONGO,A,5
BONUS,A,5
BOOBY,A,5
BOOST,A,5
BOOTH,A,5
BOOTY,A,5
BOOZE,A,5
BOOZY,A,5
BORAX,A,5
BORNE,A,5
BOSOM,A,5
BOSSY,A,5
BOTCH,A,5
BOUGH,A,5
BOULE,A,5
BOUND,A,5
BOWEL,A,5
BOXER,A,5
BRACE,A,5
BRAID,A,5
BRAIN,A,5
BRAKE,A,5
BRAND,A,5
BRASH,A,5
BRASS,A,5
BRAVE,A,5
BRAVO,A,5
BRAWL,A,5
BRAWN,A,5
BREAD,A,5
BREAK,A,5
BREED,A,5
BRIAR,A,5
BRIBE,A,5
BRICK,A,5
BRIDE,A,5
BRIEF,A,5
BRINE,A,5
BRING,A,5
BRINK,A,5
BRINY,A,5
BRISK,A,5
BROAD,A,5
BROIL,A,5
BROKE,A,5
BROOD,A,5
BROOK,A,5
BROOM,A,5
BROTH,A,5
BROWN,A,5
BRUNT,A,5
BRUSH,A,5
BRUTE,A,5
BUDDY,A,5
BUDGE,A,5
BUGGY,A,5
BUGLE,A,5
BUILD,A,5
BUILT,A,5
BULGE,A,5
BULKY,A,5
BULLY,A,5
BUNCH,A,5
BUNNY,A,5
BURLY,A,5
BURNT,A,5
BURST,A,5
BUSED,A,5
BUSHY,A,5
BUTCH,A,5
BUTTE,A,5
BUXOM,A,5
BUYER,A,5
BYLAW,A,5
CABAL,A,5
CABBY,A,5
CABIN,A,5
CABLE,A,5
CACAO,A,5
CACHE,A,5
CACTI,A,5
CADDY,A,5
CADET,A,5
CAGEY,A,5
CAIRN,A,5
CAMEL,A,5
CAMEO,A,5
CANAL,A,5
CANDY,A,5
CANNY,A,5
CANOE,A,5
CANON,A,5
CAPER,A,5
CAPUT,A,5
CARAT,A,5
CARGO,A,5
CAROL,A,5
CARRY,A,5
CARVE,A,5
CASTE,A,5
CATCH,A,5
CATER,A,5
CATTY,A,5
CAULK,A,5
CAUSE,A,5
CAVIL,A,5
CEASE,A,5
CEDAR,A,5
CELLO,A,5
CHAFE,A,5
CHAFF,A,5
CHAIN,A,5
CHAIR,A,5
CHALK,A,5
CHAMP,A,5
CHANT,A,5
CHAOS,A,5
CHARD,A,5
CHARM,A,5
CHART,A,5
CHASE,A,5
CHASM,A,5
CHEAP,A,5
CHEAT,A,5
CHECK,A,5
CHEEK,A,5
CHEER,A,5
CHESS,A,5
CHEST,A,5
CHICK,A,5
CHIDE,A,5
CHIEF,A,5
CHILD,A,5
CHILI,A,5
CHILL,A,5
CHIME,A,5
CHINA,A,5
CHIRP,A,5
CHOCK,A,5
CHOIR,A,5
CHOKE,A,5
CHORD,A,5
CHORE,A,5
CHOSE,A,5
CHUCK,A,5
CHUMP,A,5
CHUNK,A,5
CHURN,A,5
CHUTE,A,5
CIDER,A,5
CIGAR,A,5
CINCH,A,5
CIRCA,A,5
CIVIC,A,5
CIVIL,A,5
CLACK,A,5
CLAIM,A,5
CLAMP,A,5
CLANG,A,5
CLANK,A,5
CLASH,A,5
CLASP,A,5
CLASS,A,5
CLEAN,A,5
CLEAR,A,5
CLEAT,A,5
CLEFT,A,5
CLERK,A,5
CLICK,A,5
CLIFF,A,5
CLIMB,A,5
CLING,A,5
CLINK,A,5
CLOAK,A,5
CLOCK,A,5
CLONE,A,5
CLOSE,A,5
CLOTH,A,5
CLOUD,A,5
CLOUT,A,5
CLOVE,A,5
CLOWN,A,5
CLUCK,A,5
CLUED,A,5
CLUMP,A,5
CLUNG,A,5
COACH,A,5
COAST,A,5
COBRA,A,5
COCOA,A,5
COLON,A,5
COLOR,A,5
COMET,A,5
COMFY,A,5
COMIC,A,5
COMMA,A,5
CONCH,A,5
CONDO,A,5
CONIC,A,5
COPSE,A,5
CORAL,A,5
CORER,A,5
CORNY,A,5
COUCH,A,5
COUGH,A,5
COULD,A,5
COUNT,A,5
COUPE,A,5
COURT,A,5
COVEN,A,5
COVER,A,5
COVET,A,5
COVEY,A,5
COWER,A,5
COYLY,A,5
CRACK,A,5
CRAFT,A,5
CRAMP,A,5
CRANE,A,5
CRANK,A,5
CRASH,A,5
CRASS,A,5
CRATE,A,5
CRAVE,A,5
CRAWL,A,5
CRAZE,A,5
CRAZY,A,5
CREAK,A,5
CREAM,A,5
CREDO,A,5
CREED,A,5
CREEK,A,5
CREEP,A,5
CREME,A,5
CREPE,A,5
CREPT,A,5
CRESS,A,5
CREST,A,5
CRICK,A,5
CRIED,A,5
CRIER,A,5
CRIME,A,5
CRIMP,A,5
CRISP,A,5
CROAK,A,5
CROCK,A,5
CRONE,A,5
CRONY,A,5
CROOK,A,5
CROSS,A,5
CROUP,A,5
CROWD,A,5
CROWN,A,5
CRUDE,A,5
CRUEL,A,5
CRUMB,A,5
CRUMP,A,5
CRUSH,A,5
CRUST,A,5
CRYPT,A,5
CUBIC,A,5
CUMIN,A,5
CURIO,A,5
CURLY,A,5
CURRY,A,5
CURSE,A,5
CURVE,A,5
CURVY,A,5
CUTIE,A,5
CYBER,A,5
CYCLE,A,5
CYNIC,A,5
DADDY,A,5
DAILY,A,5
DAIRY,A,5
DAISY,A,5
DALLY,A,5
DANCE,A,5
DANDY,A,5
DATUM,A,5
DAUNT,A,5
DEALT,A,5
DEATH,A,5
DEBAR,A,5
DEBIT,A,5
DEBUG,A,5
DEBUT,A,5
DECAL,A,5
DECAY,A,5
DECOR,A,5
DECOY,A,5
DECRY,A,5
DEFER,A,5
DEIGN,A,5
DEITY,A,5
DELAY,A,5
DELTA,A,5
DELVE,A,5
DEMON,A,5
DEMUR,A,5
DENIM,A,5
DENSE,A,5
DEPOT,A,5
DEPTH,A,5
DERBY,A,5
DETER,A,5
DETOX,A,5
DEUCE,A,5
DEVIL,A,5
DIARY,A,5
DICEY,A,5
DIGIT,A,5
DILLY,A,5
DIMLY,A,5
DINER,A,5
DINGO,A,5
DINGY,A,5
DIODE,A,5
DIRGE,A,5
DIRTY,A,5
DISCO,A,5
DITCH,A,5
DITTO,A,5
DITTY,A,5
DIVER,A,5
DIZZY,A,5
DODGE,A,5
DODGY,A,5
DOGMA,A,5
DOING,A,5
DOLLY,A,5
DONOR,A,5
DONUT,A,5
DOPEY,A,5
DOUBT,A,5
DOUGH,A,5
DOWDY,A,5
DOWEL,A,5
DOWNY,A,5
DOWRY,A,5
DOZEN,A,5
DRAFT,A,5
DRAIN,A,5
DRAKE,A,5
DRAMA,A,5
DRANK,A,5
DRAPE,A,5
DRAWL,A,5
DRAWN,A,5
DREAD,A,5
DREAM,A,5
DRESS,A,5
DRIED,A,5
DRIER,A,5
DRIFT,A,5
DRILL,A,5
DRINK,A,5
DRIVE,A,5
DROIT,A,5
DROLL,A,5
DRONE,A,5
DROOL,A,5
DROOP,A,5
DROSS,A,5
DROVE,A,5
DROWN,A,5
DRUID,A,5
DRUNK,A,5
DRYER,A,5
DRYLY,A,5
DUCHY,A,5
DULLY,A,5
DUMMY,A,5
DUMPY,A,5
DUNCE,A,5
DUSKY,A,5
DUSTY,A,5
DUTCH,A,5
DUVET,A,5
DWARF,A,5
DWELL,A,5
DWELT,A,5
DYING,A,5
EAGER,A,5
EAGLE,A,5
EARLY,A,5
EARTH,A,5
EASEL,A,5
EATEN,A,5
EATER,A,5
EBONY,A,5
ECLAT,A,5
EDICT,A,5
EDIFY,A,5
EERIE,A,5
EGRET,A,5
EIGHT,A,5
EJECT,A,5
EKING,A,5
ELATE,A,5
ELBOW,A,5
ELDER,A,5
ELECT,A,5
ELEGY,A,5
ELFIN,A,5
ELIDE,A,5
ELITE,A,5
ELOPE,A,5
ELUDE,A,5
EMAIL,A,5
EMBED,A,5
EMBER,A,5
EMCEE,A,5
EMPTY,A,5
ENACT,A,5
ENDOW,A,5
ENEMA,A,5
ENEMY,A,5
ENJOY,A,5
ENNUI,A,5
ENSUE,A,5
ENTER,A,5
ENTRY,A,5
ENVOY,A,5
EPOCH,A,5
EPOXY,A,5
EQUAL,A,5
EQUIP,A,5
ERASE,A,5
ERECT,A,5
ERODE,A,5
ERROR,A,5
ERUPT,A,5
ESSAY,A,5
ESTER,A,5
ETHER,A,5
ETHIC,A,5
ETHOS,A,5
ETUDE,A,5
EVADE,A,5
EVENT,A,5
EVERY,A,5
EVICT,A,5
EVOKE,A,5
EXACT,A,5
EXALT,A,5
EXCEL,A,5
EXERT,A,5
EXILE,A,5
EXIST,A,5
EXPEL,A,5
EXTOL,A,5
EXTRA,A,5
EXULT,A,5
EYING,A,5
FABLE,A,5
FACET,A,5
FAINT,A,5
FAIRY,A,5
FAITH,A,5
FALSE,A,5
FANCY,A,5
FANNY,A,5
FARCE,A,5
FATAL,A,5
FATTY,A,5
FAULT,A,5
FAUNA,A,5
FAVOR,A,5
FEAST,A,5
FECAL,A,5
FEIGN,A,5
FELLA,A,5
FELON,A,5
FEMME,A,5
FEMUR,A,5
FENCE,A,5
FERAL,A,5
FERRY,A,5
FETAL,A,5
FETCH,A,5
FETID,A,5
FETUS,A,5
FEVER,A,5
FEWER,A,5
FIBER,A,5
FICUS,A,5
FIELD,A,5
FIEND,A,5
FIERY,A,5
FIFTH,A,5
FIFTY,A,5
FIGHT,A,5
FILER,A,5
FILET,A,5
FILLY,A,5
FILMY,A,5
FILTH,A,5
FINAL,A,5
FINCH,A,5
FINER,A,5
FIRST,A,5
FISHY,A,5
FIXER,A,5
FIZZY,A,5
FJORD,A,5
FLACK,A,5
FLAIL,A,5
FLAIR,A,5
FLAKE,A,5
FLAKY,A,5
FLAME,A,5
FLANK,A,5
FLARE,A,5
FLASH,A,5
FLASK,A,5
FLECK,A,5
FLEET,A,5
FLESH,A,5
FLICK,A,5
FLIER,A,5
FLING,A,5
FLINT,A,5
FLIRT,A,5
FLOAT,A,5
FLOCK,A,5
FLOOD,A,5
FLOOR,A,5
FLORA,A,5
FLOSS,A,5
FLOUR,A,5
FLOUT,A,5
FLOWN,A,5
FLUFF,A,5
FLUID,A,5
FLUKE,A,5
FLUME,A,5
FLUNG,A,5
FLUNK,A,5
FLUSH,A,5
FLUTE,A,5
FLYER,A,5
FOAMY,A,5
FOCAL,A,5
FOCUS,A,5
FOGGY,A,5
FOIST,A,5
FOLIO,A,5
FOLLY,A,5
FORAY,A,5
FORCE,A,5
FORGE,A,5
FORGO,A,5
FORTE,A,5
FORTH,A,5
FORTY,A,5
FORUM,A,5
FOUND,A,5
FOYER,A,5
FRAIL,A,5
FRAME,A,5
FRANK,A,5
FRAUD,A,5
FREAK,A,5
FREED,A,5
FREER,A,5
FRESH,A,5
FRIAR,A,5
FRIED,A,5
FRILL,A,5
FRISK,A,5
FRITZ,A,5
FROCK,A,5
FROND,A,5
FRONT,A,5
FROST,A,5
FROTH,A,5
FROWN,A,5
FROZE,A,5
FRUIT,A,5
FUDGE,A,5
FUGUE,A,5
FULLY,A,5
FUNGI,A,5
FUNKY,A,5
FUNNY,A,5
FUROR,A,5
FURRY,A,5
FUSSY,A,5
FUZZY,A,5
GAFFE,A,5
GAILY,A,5
GAMER,A,5
GAMMA,A,5
GAMUT,A,5
GASSY,A,5
GAUDY,A,5
GAUGE,A,5
GAUNT,A,5
GAUZE,A,5
GAVEL,A,5
GAWKY,A,5
GAYER,A,5
GAYLY,A,5
GAZER,A,5
GECKO,A,5
GEEKY,A,5
GEESE,A,5
GENIE,A,5
GENRE,A,5
GHOST,A,5
GHOUL,A,5
GIANT,A,5
GIDDY,A,5
GIPSY,A,5
GIRLY,A,5
GIRTH,A,5
GIVEN,A,5
GIVER,A,5
GLADE,A,5
GLAND,A,5
GLARE,A,5
GLASS,A,5
GLAZE,A,5
GLEAM,A,5
GLEAN,A,5
GLIDE,A,5
GLINT,A,5
GLOAT,A,5
GLOBE,A,5
GLOOM,A,5
GLORY,A,5
GLOSS,A,5
GLOVE,A,5
GLYPH,A,5
GNASH,A,5
GNOME,A,5
GODLY,A,5
GOING,A,5
GOLEM,A,5
GOLLY,A,5
GONAD,A,5
GONER,A,5
GOODY,A,5
GOOEY,A,5
GOOFY,A,5
GOOSE,A,5
GORGE,A,5
GOUGE,A,5
GOURD,A,5
GRACE,A,5
GRADE,A,5
GRAFT,A,5
GRAIL,A,5
GRAIN,A,5
GRAND,A,5
GRANT,A,5
GRAPE,A,5
GRAPH,A,5
GRASP,A,5
GRASS,A,5
GRATE,A,5
GRAVE,A,5
GRAVY,A,5
GRAZE,A,5
GREAT,A,5
GREED,A,5
GREEN,A,5
GREET,A,5
GRIEF,A,5
GRILL,A,5
GRIME,A,5
GRIMY,A,5
GRIND,A,5
GRIPE,A,5
GROAN,A,5
GROIN,A,5
GROOM,A,5
GROPE,A,5
GROSS,A,5
GROUP,A,5
GROUT,A,5
GROVE,A,5
GROWL,A,5
GROWN,A,5
GRUEL,A,5
GRUFF,A,5
GRUNT,A,5
GUARD,A,5
GUAVA,A,5
GUESS,A,5
GUEST,A,5
GUIDE,A,5
GUILD,A,5
GUILE,A,5
GUILT,A,5
GUISE,A,5
GULCH,A,5
GULLY,A,5
GUMBO,A,5
GUMMY,A,5
GUPPY,A,5
GUSTO,A,5
GUSTY,A,5
GYPSY,A,5
HABIT,A,5
HAIRY,A,5
HALVE,A,5
HANDY,A,5
HAPPY,A,5
HARDY,A,5
HAREM,A,5
HARPY,A,5
HARRY,A,5
HARSH,A,5
HASTE,A,5
HASTY,A,5
HATCH,A,5
HATER,A,5
HAUNT,A,5
HAUTE,A,5
HAVEN,A,5
HAVOC,A,5
HAZEL,A,5
HEADY,A,5
HEARD,A,5
HEART,A,5
HEATH,A,5
HEAVE,A,5
HEAVY,A,5
HEDGE,A,5
HEFTY,A,5
HEIST,A,5
HELIX,A,5
HELLO,A,5
HENCE,A,5
HERON,A,5
HILLY,A,5
HINGE,A,5
HIPPO,A,5
HIPPY,A,5
HITCH,A,5
HOARD,A,5
HOBBY,A,5
HOIST,A,5
HOLLY,A,5
HOMER,A,5
HONEY,A,5
HONOR,A,5
HORDE,A,5
HORNY,A,5
HORSE,A,5
HOTEL,A,5
HOTLY,A,5
HOUND,A,5
HOUSE,A,5
HOVEL,A,5
HOVER,A,5
HOWDY,A,5
HUMAN,A,5
HUMID,A,5
HUMOR,A,5
HUMPH,A,5
HUMUS,A,5
HUNCH,A,5
HUNKY,A,5
HURRY,A,5
HUSKY,A,5
HUSSY,A,5
HUTCH,A,5
HYDRO,A,5
HYENA,A,5
HYMEN,A,5
HYPER,A,5
ICILY,A,5
ICING,A,5
IDEAL,A,5
IDIOM,A,5
IDIOT,A,5
IDLER,A,5
IDYLL,A,5
IGLOO,A,5
ILIAC,A,5
IMAGE,A,5
IMBUE,A,5
IMPEL,A,5
IMPLY,A,5
INANE,A,5
INBOX,A,5
INCUR,A,5
INDEX,A,5
INEPT,A,5
INERT,A,5
INFER,A,5
INGOT,A,5
INLAY,A,5
INLET,A,5
INNER,A,5
INPUT,A,5
INTER,A,5
INTRO,A,5
IONIC,A,5
IRATE,A,5
IRONY,A,5
ISLET,A,5
ISSUE,A,5
ITCHY,A,5
IVORY,A,5
JAUNT,A,5
JAZZY,A,5
JELLY,A,5
JERKY,A,5
JETTY,A,5
JEWEL,A,5
JIFFY,A,5
JOINT,A,5
JOIST,A,5
JOKER,A,5
JOLLY,A,5
JOUST,A,5
JUDGE,A,5
JUICE,A,5
JUICY,A,5
JUMBO,A,5
JUMPY,A,5
JUNTA,A,5
JUNTO,A,5
JUROR,A,5
KAPPA,A,5
KARMA,A,5
KAYAK,A,5
KEBAB,A,5
KHAKI,A,5
KINKY,A,5
KIOSK,A,5
KITTY,A,5
KNACK,A,5
KNAVE,A,5
KNEAD,A,5
KNEED,A,5
KNEEL,A,5
KNELT,A,5
KNIFE,A,5
KNOCK,A,5
KNOLL,A,5
KNOWN,A,5
KOALA,A,5
KRILL,A,5
LABEL,A,5
LABOR,A,5
LADEN,A,5
LADLE,A,5
LAGER,A,5
LANCE,A,5
LANKY,A,5
LAPEL,A,5
LAPSE,A,5
LARGE,A,5
LARVA,A,5
LASSO,A,5
LATCH,A,5
LATER,A,5
LATHE,A,5
LATTE,A,5
LAUGH,A,5
LAYER,A,5
LEACH,A,5
LEAFY,A,5
LEAKY,A,5
LEANT,A,5
LEAPT,A,5
LEARN,A,5
LEASE,A,5
LEASH,A,5
LEAST,A,5
LEAVE,A,5
LEDGE,A,5
LEECH,A,5
LEERY,A,5
LEFTY,A,5
LEGAL,A,5
LEGGY,A,5
LEMON,A,5
LEMUR,A,5
LEPER,A,5
LEVEL,A,5
LEVER,A,5
LIBEL,A,5
LIEGE,A,5
LIGHT,A,5
LIKEN,A,5
LILAC,A,5
LIMBO,A,5
LIMIT,A,5
LINEN,A,5
LINER,A,5
LINGO,A,5
LIPID,A,5
LITHE,A,5
LIVER,A,5
LIVID,A,5
LLAMA,A,5
LOAMY,A,5
LOATH,A,5
LOBBY,A,5
LOCAL,A,5
LOCUS,A,5
LODGE,A,5
LOFTY,A,5
LOGIC,A,5
LOGIN,A,5
LOOPY,A,5
LOOSE,A,5
LORRY,A,5
LOSER,A,5
LOUSE,A,5
LOUSY,A,5
LOVER,A,5
LOWER,A,5
LOWLY,A,5
LOYAL,A,5
LUCID,A,5
LUCKY,A,5
LUMEN,A,5
LUMPY,A,5
LUNAR,A,5
LUNCH,A,5
LUNGE,A,5
LUPUS,A,5
LURCH,A,5
LURID,A,5
LUSTY,A,5
LYING,A,5
LYMPH,A,5
LYRIC,A,5
MACAW,A,5
MACHO,A,5
MACRO,A,5
MADAM,A,5
MADLY,A,5
MAFIA,A,5
MAGIC,A,5
MAGMA,A,5
MAIZE,A,5
MAJOR,A,5
MAKER,A,5
MAMBO,A,5
MAMMA,A,5
MAMMY,A,5
MANGA,A,5
MANGE,A,5
MANGO,A,5
MANGY,A,5
MANIA,A,5
MANIC,A,5
MANLY,A,5
MANOR,A,5
MAPLE,A,5
MARCH,A,5
MARRY,A,5
MARSH,A,5
MASON,A,5
MASSE,A,5
MATCH,A,5
MATEY,A,5
MAUVE,A,5
MAXIM,A,5
MAYBE,A,5
MAYOR,A,5
MEALY,A,5
MEANT,A,5
MEATY,A,5
MECCA,A,5
MEDAL,A,5
MEDIA,A,5
MEDIC,A,5
MELEE,A,5
MELON,A,5
MERCY,A,5
MERGE,A,5
MERIT,A,5
MERRY,A,5
METAL,A,5
METER,A,5
METRO,A,5
MICRO,A,5
MIDGE,A,5
MIDST,A,5
MIGHT,A,5
MILKY,A,5
MIMIC,A,5
MINCE,A,5
MINER,A,5
MINIM,A,5
MINOR,A,5
MINTY,A,5
MINUS,A,5
MIRTH,A,5
MISER,A,5
MISSY,A,5
MOCHA,A,5
MODAL,A,5
MODEL,A,5
MODEM,A,5
MOGUL,A,5
MOIST,A,5
MOLAR,A,5
MOLDY,A,5
MONEY,A,5
MONTH,A,5
MOODY,A,5
MOOSE,A,5
MORAL,A,5
MORON,A,5
MORPH,A,5
MOSSY,A,5
MOTEL,A,5
MOTIF,A,5
MOTOR,A,5
MOTTO,A,5
MOULT,A,5
MOUND,A,5
MOUNT,A,5
MOURN,A,5
MOUSE,A,5
MOUTH,A,5
MOVER,A,5
MOVIE,A,5
MOWER,A,5
MUCKY,A,5
MUCUS,A,5
MUDDY,A,5
MULCH,A,5
MUMMY,A,5
MUNCH,A,5
MURAL,A,5
MURKY,A,5
MUSHY,A,5
MUSIC,A,5
MUSKY,A,5
MUSTY,A,5
MYRRH,A,5
NADIR,A,5
NAIVE,A,5
NANNY,A,5
NASAL,A,5
NASTY,A,5
NATAL,A,5
NAVAL,A,5
NAVEL,A,5
NEEDY,A,5
NEIGH,A,5
NERDY,A,5
NERVE,A,5
NEVER,A,5
NEWER,A,5
NEWLY,A,5
NICER,A,5
NICHE,A,5
NIECE,A,5
NIGHT,A,5
NINJA,A,5
NINNY,A,5
NINTH,A,5
NOBLE,A,5
NOBLY,A,5
NOISE,A,5
NOISY,A,5
NOMAD,A,5
NOOSE,A,5
NORTH,A,5
NOSEY,A,5
NOTCH,A,5
NOVEL,A,5
NUDGE,A,5
NURSE,A,5
NUTTY,A,5
NYLON,A,5
NYMPH,A,5
OAKEN,A,5
OBESE,A,5
OCCUR,A,5
OCEAN,A,5
OCTAL,A,5
OCTET,A,5
ODDER,A,5
ODDLY,A,5
OFFAL,A,5
OFFER,A,5
OFTEN,A,5
OLDEN,A,5
OLDER,A,5
OLIVE,A,5
OMBRE,A,5
OMEGA,A,5
ONION,A,5
ONSET,A,5
OPERA,A,5
OPINE,A,5
OPIUM,A,5
OPTIC,A,5
ORBIT,A,5
ORDER,A,5
ORGAN,A,5
OTHER,A,5
OTTER,A,5
OUGHT,A,5
OUNCE,A,5
OUTDO,A,5
OUTER,A,5
OUTGO,A,5
OVARY,A,5
OVATE,A,5
OVERT,A,5
OVINE,A,5
OVOID,A,5
OWING,A,5
OWNER,A,5
OXIDE,A,5
OZONE,A,5
PADDY,A,5
PAGAN,A,5
PAINT,A,5
PALER,A,5
PALSY,A,5
PANEL,A,5
PANIC,A,5
PANSY,A,5
PAPAL,A,5
PAPER,A,5
PARER,A,5
PARKA,A,5
PARRY,A,5
PARSE,A,5
PARTY,A,5
PASTA,A,5
PASTE,A,5
PASTY,A,5
PATCH,A,5
PATIO,A,5
PATSY,A,5
PATTY,A,5
PAUSE,A,5
PAYEE,A,5
PAYER,A,5
PEACE,A,5
PEACH,A,5
PEARL,A,5
PECAN,A,5
PEDAL,A,5
PENAL,A,5
PENCE,A,5
PENNE,A,5
PENNY,A,5
PERCH,A,5
PERIL,A,5
PERKY,A,5
PESKY,A,5
PESTO,A,5
PETAL,A,5
PETTY,A,5
PHASE,A,5
PHONE,A,5
PHONY,A,5
PHOTO,A,5
PIANO,A,5
PICKY,A,5
PIECE,A,5
PIETY,A,5
PIGGY,A,5
PILOT,A,5
PINCH,A,5
PINEY,A,5
PINKY,A,5
PINTO,A,5
PIPER,A,5
PIQUE,A,5
PITCH,A,5
PITHY,A,5
PIVOT,A,5
PIXEL,A,5
PIXIE,A,5
PIZZA,A,5
PLACE,A,5
PLAID,A,5
PLAIN,A,5
PLAIT,A,5
PLANE,A,5
PLANK,A,5
PLANT,A,5
PLATE,A,5
PLAZA,A,5
PLEAD,A,5
PLEAT,A,5
PLIED,A,5
PLIER,A,5
PLUCK,A,5
PLUMB,A,5
PLUME,A,5
PLUMP,A,5
PLUNK,A,5
PLUSH,A,5
POESY,A,5
POINT,A,5
POISE,A,5
POKER,A,5
POLAR,A,5
POLKA,A,5
POLYP,A,5
POOCH,A,5
POPPY,A,5
PORCH,A,5
POSER,A,5
POSIT,A,5
POSSE,A,5
POUCH,A,5
POUND,A,5
POUTY,A,5
POWER,A,5
PRANK,A,5
PRAWN,A,5
PREEN,A,5
PRESS,A,5
PRICE,A,5
PRICK,A,5
PRIDE,A,5
PRIED,A,5
PRIME,A,5
PRIMO,A,5
PRINT,A,5
PRIOR,A,5
PRISM,A,5
PRIVY,A,5
PRIZE,A,5
PROBE,A,5
PRONE,A,5
PRONG,A,5
PROOF,A,5
PROSE,A,5
PROUD,A,5
PROVE,A,5
PROWL,A,5
PROXY,A,5
PRUDE,A,5
PRUNE,A,5
PSALM,A,5
PUBIC,A,5
PUDGY,A,5
PUFFY,A,5
PULPY,A,5
PULSE,A,5
PUNCH,A,5
PUPIL,A,5
PUPPY,A,5
PUREE,A,5
