n,h
582,1731.111111111111
583,1732.8461538461538
584,1737.0
585,1741.0
586,1745.2
587,1745.2
588,1752.357142857143
589,1752.357142857143
590,1757.3333333333333
591,1759.25
592,1766.5
593,1770.8181818181818
594,1770.8181818181818
595,1776.1
596,1776.7272727272727
597,1780.4285714285713
598,1790.076923076923
599,1790.076923076923
600,1790.5
601,1793.090909090909
602,1797.6666666666667
603,1797.7272727272727
604,1797.7272727272727
605,1805.15
606,1805.15
607,1814.5
608,1820.5
609,1821.6
610,1822.0
611,1824.7272727272727
612,1824.7272727272727
613,1832.6666666666667
614,1835.4
615,1840.8461538461538
616,1845.0
617,1847.6666666666667
618,1851.5
619,1855.7857142857142
620,1856.090909090909
621,1863.0
622,1863.7142857142858
623,1865.4
624,1868.857142857143
625,1875.076923076923
626,1875.076923076923
627,1876.2857142857142
628,1882.6153846153845
629,1886.25
630,1886.25
631,1895.2105263157894
632,1895.2105263157894
633,1900.8461538461538
634,1900.8461538461538
635,1908.7777777777778
636,1908.7777777777778
637,1910.5555555555557
638,1920.3125
639,1920.3125
640,1924.5714285714287
641,1924.5714285714287
642,1933.8461538461538
643,1933.8461538461538
644,1935.2
645,1940.2307692307693
646,1942.8333333333333
647,1942.8333333333333
648,1945.4615384615386
649,1949.375
650,1955.090909090909
651,1955.6
652,1964.0625
653,1964.0625
654,1964.0625
655,1976.7
656,1976.7
657,1976.7
658,1976.8333333333333
659,1986.0
660,1987.0
661,1987.0
662,1995.1
663,1998.2222222222222
664,2000.4
665,2004.6
666,2004.6
667,2005.2
668,2012.2857142857142
669,2018.4
670,2026.0454545454545
671,2026.0454545454545
672,2026.0454545454545
673,2032.923076923077
674,2036.111111111111
675,2037.2
676,2038.7272727272727
677,2038.7272727272727
678,2049.3333333333335
679,2051.5833333333335
680,2051.5833333333335
681,2061.6
682,2063.185185185185
683,2063.185185185185
684,2063.185185185185
685,2066.3333333333335
686,2082.222222222222
687,2082.222222222222
688,2082.3333333333335
689,2082.3333333333335
690,2085.1428571428573
691,2095.0
692,2095.4
693,2100.0
694,2100.0
695,2102.2
696,2106.5555555555557
697,2111.125
698,2111.125
699,2122.3333333333335
700,2129.0
701,2129.0
702,2129.0
703,2130.7
704,2137.6666666666665
705,2137.6666666666665
706,2142.0
707,2144.6
708,2145.1428571428573
709,2148.4444444444443
710,2157.9411764705883
711,2157.9411764705883
712,2160.8571428571427
713,2168.0
714,2168.0
715,2171.8571428571427
716,2172.1428571428573
717,2172.1428571428573
718,2174.75
719,2179.625
720,2190.8636363636365
721,2190.8636363636365
722,2197.0
723,2197.0
724,2202.0
725,2212.6315789473683
726,2212.6315789473683
727,2212.6315789473683
728,2213.285714285714
729,2222.25
730,2222.25
731,2230.0833333333335
732,2230.0833333333335
733,2230.0833333333335
734,2241.28
735,2241.28
736,2241.28
737,2241.28
738,2241.28
739,2251.3333333333335
740,2251.3333333333335
741,2259.5
742,2263.0
743,2268.904761904762
744,2268.904761904762
745,2268.904761904762
746,2279.6428571428573
747,2279.6428571428573
748,2282.0
749,2283.769230769231
750,2283.769230769231
751,2283.769230769231
752,2300.25
753,2302.5714285714284
754,2303.4444444444443
755,2303.75
756,2308.7
757,2308.7
758,2308.7
759,2322.5333333333333
760,2322.5333333333333
761,2323.6666666666665
762,2323.6666666666665
763,2332.6363636363635
764,2332.6363636363635
765,2332.6666666666665
766,2350.7083333333335
767,2350.7083333333335
768,2350.7083333333335
769,2351.3333333333335
770,2358.0
771,2361.777777777778
